Kode Produk,Barcode,Nama Produk,Kategori,Vendor,PIC,Satuan,UOM DC,UOM Store,Konversi Store
LB3802,5803802,89 CUKA APEL 500 ML,Minuman,GRX CUKA APPLE (SNACK),M KHOIRUL UMAM,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1827,711844115057,ABC KECAP ASIN 131ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2083,711844110762,ABC KECAP EXTRA PEDAS 135ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1828,711844110700,ABC KECAP PEDAS 135ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4890,28991002122035,ABC KOPI SUSU BRAZILIAN COFFE 200ML,Minuman,PT FASTRATA BUANA,PRASETYO PAMBUDI,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB1634,711844120037,ABC SAMBAL ASLI 130ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0997,711844120419,ABC SAMBAL ASLI 270ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB1792,711844120082,ABC SAMBAL EXTRA PEDAS 130ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2715,,ABC SARI KACANG HIJAU 250ML,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB2135,711844130111,ABC SAUS TOMAT 130 ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB2134,711844130128,ABC SAUS TOMAT 275 ML,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB4444,,ABC SPESIAL COCOPANDAN 460ml,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB4445,,ABC SPESIAL MELON 460ML,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB3279,,ABC SQUASH JERUK FLORIDA 450ml,Seasonal,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 12.00 PCS,12
LB4446,,ABC SQUASH LECI 450ML,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB4447,,ABC SQUASH NANAS 450ML,Seasonal,,,DUS,1.00 DUS : 1.00 DUS,1.00 DUS : 12.00 PCS,12
LB4400,711844340008,ABC TERASI UDANG 76gr,Sembako,CV MITRA SEJATI DISTRIBUSI,EKO SUYANTO,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3105,,ABON AYAM BESUKI JAYA 1KG,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3204,,ABON DAGING AYAM CAP AYAM MAS 2 KG,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 1.00 BOX,1
LB3203,,ABON DAGING SAPI WAHID 5 KG,Sembako,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 1.00 BOX,1
LB3235,,ABON SAPI CAP BERUANG PUTIH ORIGINAL 1 KG,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB3188,,ABON SAPI CAP KAKAK TUA 1KG,Sembako,,,PCS,1.00 PCS : 1.00 PCS,1.00 PCS : 1.00 PCS,1
LB0200,8992772586016,ADEM SARI CHINGKU 320ml,Minuman,P.T SUPRALITA MANDIRI,M KHOIRUL UMAM,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
LB0322,,ADEM SARI SPARKLING 320ml,Minuman,,,BOX,1.00 BOX : 1.00 BOX,1.00 BOX : 24.00 PCS,24
